M,N,K,transA,transB,dtype,iters,Gflops,us
1,4096,4096,N,N,bf16_r,10000,46.2164,726.029
1,4096,14336,N,N,bf16_r,10000,45.6987,2569.89
8,4096,4096,N,N,bf16_r,10000,369.823,725.848
8,4096,14336,N,N,bf16_r,10000,367.609,2555.77
32,4096,4096,N,N,bf16_r,10000,1478.9,726.043
32,4096,14336,N,N,bf16_r,4166,1463.49,2567.9
64,4096,4096,N,N,bf16_r,8333,2949.64,728.049
64,4096,14336,N,N,bf16_r,2142,2801.67,2682.76
256,4096,4096,N,N,bf16_r,3000,9646.08,890.51
512,4096,14336,N,N,bf16_r,681,9957.84,6038.41
1024,4096,4096,N,N,bf16_r,500,10356.8,3317.61
2048,4096,4096,N,N,bf16_r,250,10506.3,6540.76
2048,2048,2048,N,N,bf16_r,1500,10297.7,1668.33
4096,4096,4096,N,N,bf16_r,125,10585.6,12983.5
1024,4096,4096,N,T,bf16_r,500,950.776,36138.6
1024,4096,4096,T,N,bf16_r,500,8990.35,3821.84
2048,4096,4096,N,T,bf16_r,250,878.541,78220
32,4096,4096,N,N,f16_r,10000,1696.67,632.852
256,4096,4096,N,N,f16_r,3000,10627.3,808.286
1024,4096,4096,N,N,f16_r,500,11144.3,3083.17
4096,4096,4096,N,N,f16_r,125,11311.4,12150.5
1024,4096,4096,N,T,f16_r,500,923.248,37216.2
256,4096,4096,N,N,f32_r,1500,8192.31,1048.54
1024,1024,1024,N,N,f32_r,3750,10552.1,203.513
2048,2048,2048,N,N,f32_r,300,11807.5,1455
16,4096,4096,N,N,bf16_r,10000,739.604,725.89
128,4096,4096,N,N,bf16_r,5000,8885.24,483.382
512,4096,4096,N,N,bf16_r,1071,10118.1,1697.94
8192,4096,4096,N,N,bf16_r,62,10565.6,26016.3
256,7168,7168,N,N,bf16_r,833,10094.3,2606.1
1024,3584,3584,N,N,bf16_r,833,10341.7,2543.74
256,8192,28672,N,N,bf16_r,166,10006.1,12018.5
2048,4096,4096,N,N,f16_r,250,11277.1,6093.72
128,4096,4096,N,T,bf16_r,5000,647.91,6628.96
512,4096,4096,N,T,bf16_r,1071,892.36,19252.2
1024,4096,4096,T,T,bf16_r,500,6647.06,5169.16
256,4096,4096,T,T,bf16_r,3000,6514.01,1318.69
256,14336,4096,N,N,bf16_r,833,10337.3,2908.37
256,28672,8192,N,N,bf16_r,166,10349,11620.4
16,14336,14336,N,N,bf16_r,500,815.955,8060.08
96,4096,4096,N,N,bf16_r,7500,6682.97,482.005
384,4096,4096,N,N,bf16_r,1875,9986.47,1290.24
256,4096,4096,N,N,i8_r,6250,5455.47,1574.55
1024,4096,4096,N,N,i8_r,1071,7517.76,4570.47
2048,4096,4096,N,N,i8_r,500,8043.02,8543.99
4096,4096,4096,N,N,i8_r,250,8287.53,16583.8
1024,4096,4096,N,T,i8_r,1071,13152,2612.52
256,14336,4096,N,N,i8_r,1666,7471.29,4024.04
