M,N,K,transA,transB,dtype,iters,Gflops,us
1,4096,4096,N,N,bf16_r,10000,182.148,184.215
1,4096,14336,N,N,bf16_r,10000,76.0491,1544.27
8,4096,4096,N,N,bf16_r,10000,2169.65,123.723
8,4096,14336,N,N,bf16_r,10000,1153.69,814.364
32,4096,4096,N,N,bf16_r,10000,8926.94,120.281
32,4096,14336,N,N,bf16_r,4166,4589.95,818.767
64,4096,4096,N,N,bf16_r,8333,12348.7,173.904
64,4096,14336,N,N,bf16_r,2142,5656.36,1328.8
256,4096,4096,N,N,bf16_r,3000,41041.7,209.298
512,4096,14336,N,N,bf16_r,681,38600.3,1557.75
1024,4096,4096,N,N,bf16_r,500,49085.5,699.997
2048,4096,4096,N,N,bf16_r,250,12710.5,5406.52
2048,2048,2048,N,N,bf16_r,1500,47667,360.414
4096,4096,4096,N,N,bf16_r,125,54210.4,2535.29
1024,4096,4096,N,T,bf16_r,500,62202.1,552.389
1024,4096,4096,T,N,bf16_r,500,40243.5,853.797
2048,4096,4096,N,T,bf16_r,250,13012.8,5280.91
32,4096,4096,N,N,f16_r,10000,11623,92.381
256,4096,4096,N,N,f16_r,3000,42213.8,203.486
1024,4096,4096,N,N,f16_r,500,49155.6,699
4096,4096,4096,N,N,f16_r,125,51061.4,2691.64
1024,4096,4096,N,T,f16_r,500,62864.4,546.57
256,4096,4096,N,N,f32_r,1500,12643.4,679.402
1024,1024,1024,N,N,f32_r,3750,13455.5,159.599
2048,2048,2048,N,N,f32_r,300,11290.1,1521.68
16,4096,4096,N,N,bf16_r,10000,4336.36,123.807
128,4096,4096,N,N,bf16_r,5000,34960.9,122.851
512,4096,4096,N,N,bf16_r,1071,44336.5,387.488
8192,4096,4096,N,N,bf16_r,62,13151.7,20900.6
256,7168,7168,N,N,bf16_r,833,44387.2,592.664
1024,3584,3584,N,N,bf16_r,833,48419.7,543.305
256,8192,28672,N,N,bf16_r,166,12925.6,9303.92
2048,4096,4096,N,N,f16_r,250,18939.4,3628.39
128,4096,4096,N,T,bf16_r,5000,44182.3,97.2102
512,4096,4096,N,T,bf16_r,1071,55857.7,307.565
1024,4096,4096,T,T,bf16_r,500,48722.3,705.216
256,4096,4096,T,T,bf16_r,3000,40413.8,212.55
256,14336,4096,N,N,bf16_r,833,46598.3,645.191
256,28672,8192,N,N,bf16_r,166,39366,3054.9
16,14336,14336,N,N,bf16_r,500,4839.41,1358.98
96,4096,4096,N,N,bf16_r,7500,25931.2,124.222
384,4096,4096,N,N,bf16_r,1875,43137.6,298.693
256,4096,4096,N,N,i8_r,6250,49290.7,174.271
1024,4096,4096,N,N,i8_r,1071,52841.1,650.247
2048,4096,4096,N,N,i8_r,500,5844.77,11757.4
4096,4096,4096,N,N,i8_r,250,66150.6,2077.67
1024,4096,4096,N,T,i8_r,1071,71801.2,478.54
256,14336,4096,N,N,i8_r,1666,59510,505.206
